,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_residual,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153
23_1,1.195785e-06,9.2253011e-05,1.6273482e-05,2.9971e-08,0.006638250883,9.60719e-07,2.214e-09,4.32267e-07,1.53475e-07,2.89283e-05,7.713454e-06,3.653236e-06,6.33722e-07,6.9719e-08,1.136e-09,5.2429e-08,1.4021e-08,1.29e-10,6.176e-09,1.49e-10,1,4.69e-09,1.922e-09,6.3883e-08,1.904001e-06,1.446024e-06,6.484e-09,9.887e-09,9.076e-09,1.816e-08,2.465e-09,1.94e-10,1.43732e-07,4.56e-10,5.1657e-08,4.851e-09,8.9e-11,3.416694e-06,5.05821e-07,4.44041e-07
29_2,9.96341e-07,5.6310332e-05,2.1635448e-05,3.9958e-08,0.006581067239,1.905583e-06,4.783e-09,4.73203e-07,5.36515e-07,3.3364521e-05,1.3183619e-05,6.991297e-06,2.303274e-06,1.96635e-07,3.633e-09,3.33648e-07,6.0976e-08,9.98e-10,7.3768e-08,2.862e-09,1,4.64e-09,1.792e-09,6.2701e-08,3.146334e-06,1.790553e-06,8.573e-09,1.2388e-08,1.0034e-08,1.8434e-08,1.103e-08,4.26e-10,4.46965e-07,7.03e-10,1.27132e-07,1.3318e-08,1.36e-10,5.709649e-06,5.6532e-07,9.1683e-07
14_0,1.401776e-06,0.000141536448,8.05806e-06,1.6819e-08,0.006686982051,2.3803e-07,5.06e-10,3.94515e-07,1.4139e-08,1.6832962e-05,2.056552e-06,5.62892e-07,3.1394e-08,4.163e-09,4.2e-11,8.53e-10,3.43e-10,1e-12,3.3e-11,0.0,1,4.756e-09,1.985e-09,6.5618e-08,7.26604e-07,7.13526e-07,2.998e-09,4.573e-09,7.706e-09,1.6076e-08,1.25e-10,6.2e-11,2.3831e-08,2.4e-10,1.0861e-08,7.87e-10,4.7e-11,1.055013e-06,4.09746e-07,1.05476e-07
28_3,1.030484e-06,6.174077e-05,2.0884882e-05,3.8408e-08,0.006591731077,1.732846e-06,4.285e-09,4.65951e-07,4.48315e-07,3.2895156e-05,1.229519e-05,6.46078e-06,1.934117e-06,1.73191e-07,3.158e-09,2.59025e-07,5.0513e-08,7.61e-10,5.2125e-08,1.893e-09,1,4.648e-09,1.816e-09,6.2884e-08,2.924107e-06,1.75077e-06,8.283e-09,1.21e-08,9.889e-09,1.8459e-08,8.925e-09,3.79e-10,3.74824e-07,6.55e-10,1.10871e-07,1.1495e-08,1.27e-10,5.324356e-06,5.56137e-07,8.28865e-07
16_4,1.363392e-06,0.00013124869,9.820056e-06,1.9562e-08,0.006678552247,3.45407e-07,7.45e-10,4.01154e-07,2.6528e-08,2.0024021e-05,3.02321e-06,9.9576e-07,7.4372e-08,9.597e-09,1.13e-10,2.713e-09,1.01e-09,4e-12,1.39e-10,2e-12,1,4.742e-09,1.984e-09,6.5223e-08,9.39773e-07,8.87441e-07,3.783e-09,5.823e-09,8.003e-09,1.6676e-08,2.77e-10,7.9e-11,3.7523e-08,2.81e-10,1.6213e-08,1.248e-09,5.5e-11,1.479665e-06,4.35027e-07,1.53427e-07
37_3,7.40866e-07,2.433041e-05,2.5101331e-05,4.92e-08,0.006484327107,3.253573e-06,9.07e-09,5.27071e-07,1.556886e-06,3.4975112e-05,1.8871396e-05,1.0135357e-05,6.184232e-06,3.51473e-07,6.814e-09,1.408023e-06,1.55889e-07,4.167e-09,5.76075e-07,3.2424e-08,1,4.577e-09,1.623e-09,6.155e-08,5.013409e-06,1.910017e-06,9.999e-09,1.3294e-08,1.09e-08,1.79e-08,3.8681e-08,8.5e-10,1.435066e-06,1.196e-09,3.22195e-07,3.3239e-08,2.14e-10,8.442084e-06,6.24617e-07,1.627531e-06
31_2,9.2666e-07,4.6100515e-05,2.2957527e-05,4.2917e-08,0.006557929431,2.26709e-06,5.865e-09,4.88188e-07,7.49731e-07,3.40762e-05,1.4911602e-05,7.997168e-06,3.165063e-06,2.43861e-07,4.598e-09,5.29695e-07,8.4737e-08,1.617e-09,1.4034e-07,6.143e-09,1,4.623e-09,1.743e-09,6.2347e-08,3.615658e-06,1.851673e-06,9.086e-09,1.2832e-08,1.0308e-08,1.8328e-08,1.6334e-08,5.28e-10,6.29194e-07,8.11e-10,1.65906e-07,1.7583e-08,1.55e-10,6.482693e-06,5.83079e-07,1.102838e-06
21_4,1.253642e-06,0.000104713453,1.426033e-05,2.6622e-08,0.006652848258,7.24818e-07,1.632e-09,4.21151e-07,9.381e-08,2.6591663e-05,6.058397e-06,2.655292e-06,3.61973e-07,4.2344e-08,6.42e-10,2.3857e-08,7.14e-09,5.2e-11,2.218e-09,4.4e-11,1,4.707e-09,1.951e-09,6.4293e-08,1.564456e-06,1.286331e-06,5.669e-09,8.723e-09,8.74e-09,1.782e-08,1.346e-09,1.46e-10,9.6619e-08,3.94e-10,3.7043e-08,3.288e-09,7.7e-11,2.741888e-06,4.84907e-07,3.3021e-07
40_4,6.54685e-07,1.6783863e-05,2.5386944e-05,5.108e-08,0.00644163128,3.698821e-06,1.0611e-08,5.43252e-07,2.05602e-06,3.5183143e-05,2.0365477e-05,1.0876673e-05,7.958323e-06,3.88059e-07,7.567e-09,2.033841e-06,1.8757e-07,5.697e-09,1.005664e-06,6.2015e-08,1,4.557e-09,1.58e-09,6.1281e-08,5.774855e-06,1.899972e-06,1.0214e-08,1.3274e-08,1.1107e-08,1.7758e-08,5.435e-08,1.03e-09,2.042857e-06,1.448e-09,4.36881e-07,4.3289e-08,2.43e-10,9.299148e-06,6.40891e-07,1.880003e-06
7_2,1.501126e-06,0.000171100095,2.91607e-06,8.851e-09,0.006707555201,3.5804e-08,7.1e-11,3.80419e-07,5.02e-10,5.325172e-06,1.93938e-07,1.5313e-08,1.99e-10,2.8e-11,0.0,1e-12,1e-12,0.0,0.0,0.0,1,4.802e-09,1.944e-09,6.5114e-08,1.87164e-07,1.67303e-07,6e-10,7.92e-10,6.812e-09,1.3861e-08,2e-12,1.6e-11,2.047e-09,1.18e-10,1.524e-09,9.1e-11,2.5e-11,1.2812e-07,2.28999e-07,1.8272e-08
30_3,9.5522e-07,5.014556e-05,2.2449582e-05,4.1741e-08,0.00656765083,2.117696e-06,5.411e-09,4.81989e-07,6.56784e-07,3.3819566e-05,1.4217877e-05,7.598003e-06,2.794188e-06,2.24718e-07,4.206e-09,4.41811e-07,7.4652e-08,1.34e-09,1.08862e-07,4.545e-09,1,4.63e-09,1.763e-09,6.2488e-08,3.420522e-06,1.829692e-06,8.888e-09,1.2672e-08,1.0199e-08,1.8379e-08,1.3987e-08,4.85e-10,5.48339e-07,7.65e-10,1.49029e-07,1.5743e-08,1.47e-10,6.16813e-06,5.75948e-07,1.025649e-06
