,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153,q_residual
3_3,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_4,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_5,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_6,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_7,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_8,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_9,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_10,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
4_0,1.523887e-06,0.000178579342,1.603223e-06,6.106e-09,0.006712021146,7.901e-09,1.3e-11,3.77388e-07,2.9e-11,1.796145e-06,2.3771e-08,6.48e-10,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816e-09,1.919e-09,4.8738e-08,6.6627e-08,3.6973e-08,8.7e-11,9.5e-11,6.62e-09,1.2217e-08,0.0,4e-12,2.79e-10,8.2e-11,3.82e-10,2.3e-11,1.8e-11,1.9584e-08,1.05194e-07,5.465e-09,1
4_1,1.523887e-06,0.000178579342,1.603223e-06,6.106e-09,0.006712021146,7.901e-09,1.3e-11,3.77388e-07,2.9e-11,1.796145e-06,2.3771e-08,6.48e-10,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.816e-09,1.919e-09,4.8738e-08,6.6627e-08,3.6973e-08,8.7e-11,9.5e-11,6.62e-09,1.2217e-08,0.0,4e-12,2.79e-10,8.2e-11,3.82e-10,2.3e-11,1.8e-11,1.9584e-08,1.05194e-07,5.465e-09,1
